feature,importance
src_ip_bytes,0.16214097207073322
conn_state,0.10956014405309134
dst_port,0.10534118489656347
src_port,0.10141282530048995
dst_ip_bytes,0.0861367937390985
src_pkts,0.06386959472721816
label,0.062486803062187714
src_bytes,0.06061420359900348
dst_pkts,0.05523863829326088
duration,0.05090569340224102
dst_bytes,0.037184591061038136
service,0.028234406544022
dns_RA,0.0162477524621289
proto,0.013642734238055327
dns_query,0.010951949335892535
dns_rejected,0.009963305313496562
dns_AA,0.00567477647112172
dns_RD,0.005633105089437944
dns_rcode,0.004348339375300802
dns_qclass,0.004057940911815005
dns_qtype,0.003753303092947417
missed_bytes,0.0015877170243370456
ssl_version,0.00016874956164907552
ssl_cipher,0.0001362729137642772
ssl_resumed,0.0001239429740352121
ssl_established,0.00012067733247384466
http_uri,7.565964095397036e-05
http_user_agent,5.4498398877590204e-05
http_version,4.96709071524436e-05
http_status_code,4.504663564253744e-05
http_trans_depth,4.397700161873823e-05
weird_notice,4.3144724987343446e-05
weird_name,4.094844346397041e-05
http_method,3.768239972642354e-05
http_response_body_len,3.142900886412736e-05
http_resp_mime_types,2.778562541369038e-05
weird_addl,9.323747367239444e-06
http_request_body_len,1.4437651379588996e-06
ssl_issuer,1.3491189388095143e-06
ssl_subject,1.2238312617537728e-06
http_orig_mime_types,3.9990518996173296e-07
