feature,importance
src_ip_bytes,0.14921854020581846
src_pkts,0.10492419822155816
dst_port,0.10167284886375812
src_bytes,0.09397670466731761
dst_ip_bytes,0.08940348243715317
src_port,0.06782937759548117
conn_state,0.06715444530083685
duration,0.06682525808741213
dst_bytes,0.05948837992237474
dst_pkts,0.056301573413746114
service,0.03555593196846344
proto,0.02181123501284816
dns_query,0.015099677067938416
dns_RA,0.014360358183801457
label,0.013899419318584136
dns_rejected,0.010915848691468256
dns_RD,0.00705667771147297
dns_qtype,0.007017848518865485
dns_AA,0.006940390430461223
dns_rcode,0.004691206087514977
dns_qclass,0.003475872449239026
missed_bytes,0.0020898871757916533
ssl_cipher,3.8776082120700955e-05
ssl_established,3.2918945584322295e-05
ssl_version,3.0224823344948007e-05
ssl_resumed,2.9192107457445426e-05
http_user_agent,2.4778558059024842e-05
http_trans_depth,2.1152839861490968e-05
http_uri,1.8044670836646075e-05
http_status_code,1.6579931059646066e-05
weird_name,1.6335915590452473e-05
http_version,1.446953334131189e-05
http_method,1.4337469975445178e-05
weird_notice,1.3207318761394024e-05
http_response_body_len,9.868612545026203e-06
http_resp_mime_types,7.558722444545036e-06
weird_addl,2.4825034943262416e-06
ssl_subject,3.424735055230478e-07
ssl_issuer,2.4578296009487003e-07
http_orig_mime_types,2.385693762193348e-07
http_request_body_len,8.380777569669847e-08
