feature,importance
conn_state,0.17431941606522766
dst_port,0.10905956836414793
dns_query,0.10423185268826313
src_port,0.09655493705637112
src_pkts,0.0804179954082449
label,0.06273509885196396
missed_bytes,0.059580774081334935
proto,0.05666442346455373
dst_bytes,0.0555237421485818
service,0.050180317071473766
duration,0.0446735928436346
dst_ip_bytes,0.02537778945251118
dst_pkts,0.0171270194881399
dns_rejected,0.014302166908332291
ssl_version,0.010715734761618615
dns_qclass,0.010495056539177792
dns_RA,0.007175945039295106
dns_RD,0.005276372716965101
dns_rcode,0.005078508764312433
dns_AA,0.004195230927135319
dns_qtype,0.0037576138859900586
src_bytes,0.0015684033517842381
ssl_subject,0.00014791276560463564
ssl_established,0.00013906999409198022
ssl_resumed,0.00012433756014287224
ssl_cipher,0.00012279895826735186
http_version,7.55007502316745e-05
http_user_agent,6.23843863226989e-05
http_method,5.0045436372314733e-05
weird_name,4.9467568085681495e-05
http_request_body_len,4.1765707081795524e-05
weird_notice,3.69085676105989e-05
http_uri,3.6860549423271205e-05
http_status_code,3.672444812559096e-05
src_ip_bytes,3.557063290257741e-05
http_resp_mime_types,2.0770770465958292e-05
weird_addl,4.047198364223456e-06
http_response_body_len,1.8506556109836401e-06
http_orig_mime_types,1.4075248608565604e-06
http_trans_depth,5.458352390894681e-07
ssl_issuer,4.708121363763494e-07
